household_income,leisure_purpose,leisure_purpose_2,weekday_avg_leisure_time,weekend_avg_leisure_time,rest_recreation_rate,hobby_rate,self_improvement_rate,social_relationship_rate,leisure_activity_1,leisure_activity_2,leisure_activity_3,leisure_activity_4,leisure_activity_5
0,4,1,5,7,40,20,10,30,1,7,4,6,2
0,6,4,2,3,60,20,10,10,1,1,1,2,1
0,1,3,5,12,50,10,0,40,1,1,6,0,0
3,2,8,3,8,20,10,40,30,1,1,0,0,0
4,7,4,1,6,10,10,50,30,2,8,2,7,0
0,1,8,6,12,60,10,10,20,1,1,1,6,2
0,2,8,5,6,20,30,40,10,2,4,1,0,0
0,7,3,3,6,20,30,20,30,1,7,6,8,8
2,6,3,2,8,30,30,10,30,3,2,3,8,1
2,8,5,2,3,30,20,30,20,4,2,2,0,0
2,4,6,4,6,30,20,45,5,1,1,4,1,1
2,4,1,3,10,50,20,20,10,2,1,1,2,0
0,1,3,3,5,20,20,20,40,6,8,6,1,1
4,1,8,3,8,60,10,0,30,4,7,6,2,3
4,3,6,2,4,20,60,0,20,2,3,2,0,0
4,3,7,1,4,0,10,10,80,3,3,6,3,2
0,8,3,3,12,3,1,1,95,7,7,6,6,6
2,3,1,3,3,30,5,30,20,6,2,4,8,6
0,3,1,5,10,60,20,10,10,4,4,1,7,6
3,4,6,10,10,0,0,0,100,1,1,0,0,0
0,6,1,1,5,40,20,10,30,6,2,7,0,0
3,4,1,1,2,100,0,0,0,1,2,0,0,0
1,6,4,8,13,70,10,2,18,7,1,2,3,2
3,6,1,3,5,50,0,20,30,1,1,1,2,1
3,8,4,2,4,60,20,10,10,2,2,0,0,0
0,6,5,2,4,30,20,20,30,6,0,0,0,0
0,3,0,6,7,50,0,0,50,6,0,0,0,0
2,6,4,6,12,40,10,0,50,7,1,3,1,7
0,3,4,1,8,50,0,0,50,7,6,6,1,1
2,6,7,1,3,15,60,5,20,1,4,2,4,0
0,2,5,5,5,5,50,30,10,1,4,0,0,0
0,4,1,2,4,20,30,10,40,8,0,0,0,0
4,7,2,2,6,0,80,0,20,3,0,0,0,0
0,1,6,2,2,95,2,2,1,1,1,0,0,0
3,3,7,8,8,50,10,40,0,2,1,2,7,7
0,4,1,15,15,80,0,0,20,1,1,6,7,3
3,3,1,3,5,60,10,20,10,7,3,4,1,2
0,3,2,12,12,70,20,0,10,1,2,6,4,6
4,4,5,3,10,30,30,10,30,8,2,2,2,1
2,1,3,2,3,40,20,20,20,2,0,0,0,0
0,4,1,3,6,80,0,0,10,1,1,3,5,2
0,6,1,0,5,50,50,0,0,1,0,0,0,0
2,4,1,3,7,50,0,30,20,4,1,1,2,4
2,1,6,2,5,20,30,0,50,7,1,2,2,6
2,5,3,1,3,30,30,30,10,8,1,1,4,2
4,6,4,2,4,30,20,0,50,4,4,4,0,0
1,1,2,5,10,20,30,10,40,6,4,4,2,7
4,4,1,1,4,20,30,20,30,2,2,1,3,1
0,2,7,3,5,50,35,10,5,1,2,1,0,0
0,5,7,2,4,30,30,30,10,2,5,2,2,2
2,8,3,4,6,25,25,25,25,6,1,1,7,1
0,2,1,5,14,0,80,0,20,1,4,1,2,1
4,5,1,6,8,70,5,20,5,7,1,1,2,7
0,1,4,5,15,50,0,10,0,1,1,7,7,7
0,2,0,2,2,5,50,5,5,8,0,0,0,0
0,6,4,3,7,30,10,10,0,7,5,1,1,7
3,6,2,2,5,20,60,10,10,3,0,0,0,0
0,7,5,2,5,20,20,20,20,2,4,0,0,0
0,1,6,3,12,60,0,20,20,5,6,7,0,0
0,4,6,7,14,20,40,30,10,7,4,4,1,1
0,5,1,12,12,50,0,0,50,4,2,5,3,6
4,8,4,8,12,20,40,0,40,2,0,0,0,0
4,1,6,3,6,50,10,30,10,7,1,7,2,7
4,3,1,1,2,35,35,10,15,2,6,7,2,1
0,6,1,2,3,100,0,0,0,7,1,1,1,8
4,5,1,1,8,40,20,10,30,1,0,0,0,0
4,3,4,3,10,20,50,0,30,2,1,7,0,0
0,2,1,3,3,40,10,10,40,3,0,0,0,0
0,8,1,4,16,33,0,33,34,5,6,3,2,7
0,6,2,2,2,30,40,0,30,2,1,7,3,0
2,4,3,2,8,20,0,0,80,7,1,1,3,3
0,6,1,1,2,25,50,0,25,2,2,1,6,6
0,2,7,4,12,65,20,5,10,1,2,8,6,6
0,6,7,1,3,20,30,30,20,2,0,0,0,0
3,1,7,3,8,50,35,10,5,2,1,7,5,6
0,2,5,1,2,10,70,0,20,1,0,0,0,0
0,6,2,3,12,70,10,10,10,7,7,7,7,6
2,3,1,3,5,50,10,0,40,7,2,1,3,2
0,3,4,10,10,30,10,10,50,1,0,0,0,0
2,7,3,2,6,25,20,25,30,5,0,0,0,0
0,1,6,1,2,20,30,5,30,4,4,0,0,0
4,3,6,4,6,0,10,0,90,3,7,1,1,3
4,7,6,1,1,30,50,0,20,2,2,4,4,3
4,3,5,2,10,20,40,10,30,2,6,6,1,3
0,6,4,2,2,80,0,0,0,3,0,0,0,0
3,7,6,2,1,30,0,0,10,2,2,7,0,0
0,6,3,6,16,20,15,50,15,4,3,2,7,7
4,1,8,1,6,20,0,70,10,4,1,7,6,0
3,3,4,1,5,30,10,10,50,1,4,4,5,0
0,3,2,5,8,70,25,0,5,2,1,0,0,0
4,7,3,4,12,25,26,25,24,1,1,2,3,3
4,6,4,3,10,50,20,30,0,2,3,7,8,7
2,7,1,7,10,30,70,0,0,2,2,2,2,7
4,4,6,4,10,70,10,10,0,1,7,2,1,0
4,1,3,3,6,40,0,30,30,1,1,2,6,7
0,3,7,1,3,50,0,0,30,2,2,2,3,6
4,1,3,2,10,50,10,10,30,2,6,8,7,2
2,6,2,3,10,50,0,50,0,3,6,1,0,0
2,7,5,3,5,0,0,50,50,4,3,0,0,0
2,3,5,2,8,50,10,10,30,3,7,2,0,0
0,3,1,12,12,100,0,0,0,1,1,7,1,0
0,1,4,6,6,70,10,10,10,1,7,1,4,1
4,3,4,1,2,30,30,20,20,1,2,7,2,5
3,5,7,8,5,20,20,20,40,5,1,2,5,3
2,1,6,2,4,20,0,0,80,8,1,0,0,0
3,3,8,1,3,50,30,0,20,2,6,7,1,0
0,3,1,2,5,0,10,10,80,4,0,0,0,0
4,2,1,10,8,60,0,10,30,7,2,4,0,0
4,7,8,2,5,10,20,10,60,2,6,0,0,0
0,8,0,3,3,0,0,0,100,6,8,4,0,0
3,6,3,1,2,60,0,40,0,1,5,4,0,0
4,3,7,0,5,50,20,0,30,6,0,0,0,0
4,4,3,6,12,10,0,70,20,4,1,1,3,7
0,8,1,3,5,50,0,0,30,6,6,3,6,1
2,5,7,2,6,70,0,20,10,5,6,1,3,0
0,3,7,3,7,20,20,10,50,6,2,2,7,7
4,6,7,4,15,50,25,5,20,6,1,1,2,2
0,7,4,1,8,40,40,10,10,1,7,2,6,2
3,7,4,5,7,30,10,40,20,2,1,1,3,0
4,1,6,3,6,70,10,10,10,1,1,1,7,7
0,4,3,5,10,50,0,0,50,7,7,3,0,0
3,6,4,2,8,80,10,5,5,1,3,4,1,0
3,3,6,2,2,100,0,0,0,1,1,7,2,2
0,8,3,3,3,40,20,10,30,8,0,0,0,0
4,1,4,5,9,10,30,50,10,5,1,0,0,0
3,5,1,3,5,20,10,40,30,8,2,1,4,2
2,3,7,1,3,40,30,10,20,8,2,3,6,2
0,1,6,2,5,50,10,20,20,1,7,2,3,7
1,4,1,4,6,50,50,0,0,1,1,4,7,1
0,1,5,3,7,30,30,30,10,4,1,6,1,1
0,6,1,6,18,50,50,0,0,2,0,0,0,0
0,7,2,2,2,20,40,10,30,4,1,0,0,0
0,6,3,1,4,60,0,10,10,6,1,6,0,0
4,3,8,2,4,50,0,10,30,2,6,8,5,7
0,5,7,2,3,30,70,0,0,2,2,6,3,1
2,3,1,4,8,40,25,15,20,1,1,1,1,1
2,7,3,3,8,30,0,0,40,3,4,3,0,0
3,4,7,3,8,20,20,30,30,2,4,1,8,1
2,2,0,5,5,100,0,0,0,2,0,0,0,0
4,3,6,6,1,10,10,0,80,6,2,2,0,0
3,1,4,3,6,50,20,20,10,3,2,2,4,0
4,3,4,2,4,0,100,0,0,2,0,0,0,0
3,3,1,2,5,50,0,0,50,6,1,6,3,1
3,4,6,10,10,50,5,40,5,1,1,7,3,1
4,1,7,8,10,0,40,30,0,1,1,2,7,1
0,2,4,3,12,85,0,0,15,1,6,1,6,8
3,7,6,1,2,80,0,20,0,3,0,0,0,0
3,8,1,2,4,50,10,10,30,3,2,2,1,7
3,1,6,1,2,40,20,30,10,2,2,3,1,3
3,4,7,2,3,10,50,30,10,2,2,2,3,3
4,6,3,2,5,50,10,20,20,6,7,7,1,1
0,1,8,3,5,20,10,40,30,4,8,7,2,3
3,4,1,2,1,30,10,20,40,7,1,2,1,4
0,1,2,4,7,80,0,0,20,6,2,7,4,0
0,2,4,10,10,60,10,10,20,1,2,0,0,0
2,2,1,6,9,50,20,10,20,7,1,2,1,2
0,1,4,8,8,40,20,30,10,2,2,2,2,3
0,3,4,5,5,10,50,10,30,2,8,2,4,8
0,6,0,1,2,20,0,0,80,8,0,0,0,0
3,6,1,3,2,50,30,0,20,1,1,7,0,0
0,7,4,3,6,30,60,0,10,1,2,2,2,2
0,4,6,1,4,50,20,0,30,7,4,0,0,0
2,1,6,4,8,80,15,0,5,3,0,0,0,0
2,4,7,3,15,90,0,0,10,1,0,0,0,0
3,7,3,2,6,30,30,20,20,2,2,2,3,0
4,6,1,2,4,50,30,0,20,2,0,0,0,0
3,1,3,1,12,80,10,0,10,7,7,1,0,0
0,6,3,4,12,70,10,10,10,1,1,1,2,6
0,3,4,6,6,40,0,0,60,1,6,8,0,0
3,3,4,2,6,20,50,0,30,2,7,2,3,2
0,1,3,2,8,90,0,10,0,2,2,0,0,0
0,5,4,3,0,20,30,50,0,1,5,4,1,4
0,4,1,4,4,100,0,0,0,7,1,7,0,0
0,6,4,2,4,100,0,0,0,1,1,1,1,7
2,6,8,1,8,20,0,0,80,3,3,1,8,0
1,7,6,1,4,50,50,0,0,1,4,2,7,3
0,1,4,3,1,30,20,20,20,2,2,2,4,1
4,7,1,3,5,30,30,20,20,6,8,8,3,1
4,3,7,3,6,20,10,20,50,2,3,7,1,2
0,6,4,3,6,40,0,10,50,1,3,0,0,0
0,1,6,2,3,50,50,0,0,1,1,0,0,0
0,1,4,3,3,100,0,0,0,7,1,1,0,0
1,1,6,3,5,0,30,30,40,4,7,5,2,1
4,4,2,6,10,40,40,10,10,4,1,1,0,0
4,1,3,5,8,50,20,10,20,1,2,1,2,0
0,6,4,3,10,50,15,0,15,1,7,1,6,3
1,4,7,3,8,50,10,10,30,1,1,7,7,2
2,4,1,7,5,80,0,15,5,1,7,1,7,6
0,6,4,4,8,100,0,0,0,1,2,0,0,0
4,8,6,6,2,30,0,0,30,1,4,2,2,2
4,3,1,4,8,20,40,0,40,2,2,1,7,7
3,1,6,2,4,50,0,50,0,4,1,7,7,2
4,2,4,8,10,70,20,0,10,7,1,1,4,3
0,9,0,0,0,0,0,0,0,3,0,0,0,0
3,1,8,1,2,70,0,0,30,7,1,7,7,6
2,4,8,6,12,70,0,0,30,2,7,1,1,2
2,7,4,4,8,10,30,10,30,7,2,8,6,6
4,1,3,4,8,20,30,20,30,1,1,7,4,6
0,4,1,2,10,35,20,10,35,7,1,6,3,7
0,4,1,3,6,30,0,70,0,5,4,7,1,2
2,3,6,2,4,40,10,10,30,2,1,1,3,1
4,3,7,3,5,20,20,20,30,1,3,3,7,2
4,1,3,4,12,50,20,10,20,1,2,8,3,4
4,5,2,2,5,50,0,40,10,1,1,4,5,7
3,1,8,6,10,50,0,0,50,6,6,3,1,1
0,1,3,10,10,50,20,0,30,7,1,1,1,1
3,4,1,2,5,50,10,30,10,4,2,7,7,1
0,5,7,3,4,10,30,50,10,5,0,0,0,0
0,4,3,2,6,50,10,10,30,3,3,0,0,0
0,5,7,2,1,10,60,0,30,2,4,1,4,4
3,1,3,0,6,30,30,0,40,1,6,3,3,8
0,6,5,5,10,50,50,0,0,5,2,1,0,0
2,3,1,2,2,90,0,0,10,8,0,0,0,0
3,2,1,2,4,40,30,10,10,3,5,6,1,2
4,1,3,4,1,80,20,0,0,3,2,7,4,3
2,3,7,4,4,60,10,20,10,3,3,3,7,1
2,1,3,1,4,95,0,5,0,1,7,0,0,0
1,3,9,1,8,90,0,0,0,6,2,7,6,7
4,7,4,3,5,20,50,10,20,2,2,2,1,3
0,4,1,3,5,50,10,0,30,6,6,6,4,3
0,1,6,2,1,50,0,20,30,1,1,3,4,6
3,1,4,2,6,100,0,0,0,1,0,0,0,0
4,6,0,3,5,50,0,10,10,7,1,0,0,0
1,4,8,3,5,20,30,20,30,2,7,1,1,3
3,3,4,3,5,30,0,0,70,2,3,3,7,7
0,7,3,5,7,40,30,0,30,1,2,6,0,0
2,3,7,3,5,50,30,0,0,2,7,3,7,0
4,1,0,1,3,50,20,10,20,7,2,7,3,6
4,4,1,10,10,90,0,0,10,1,1,7,2,0
0,1,2,2,2,45,4,1,50,6,2,7,2,1
2,1,6,1,1,100,0,0,0,7,7,0,0,0
0,7,1,2,8,50,40,0,10,1,2,2,2,0
2,3,4,4,3,40,10,40,10,1,8,7,7,1
2,1,6,4,3,50,30,10,10,1,7,2,0,0
3,8,3,2,3,50,20,20,10,7,2,0,0,0
2,1,6,3,3,80,20,0,0,1,1,1,2,4
1,8,6,4,10,60,5,5,30,1,1,1,7,7
3,4,3,3,6,70,10,10,10,3,3,1,1,1
3,7,5,1,7,10,80,10,0,1,2,0,0,0
4,5,7,2,3,10,50,0,40,4,2,0,0,0
3,3,1,1,1,0,0,0,100,4,3,4,3,0
4,1,3,1,8,10,10,10,30,2,6,1,5,8
4,1,7,5,14,35,35,0,30,2,1,1,2,6
4,7,1,3,10,50,20,20,10,2,6,6,2,3
0,3,1,2,8,20,40,10,30,2,2,2,1,1
3,3,1,2,7,20,50,10,20,3,2,8,0,0
0,3,1,5,14,60,20,5,15,1,2,1,7,6
4,3,1,2,4,70,0,0,30,1,7,2,7,7
2,3,1,1,3,30,40,10,20,6,4,8,7,2
0,7,1,6,8,50,20,20,10,2,1,4,2,0
0,6,4,1,7,20,80,0,0,3,3,0,0,0
3,1,7,4,5,40,30,0,30,6,2,7,8,7
0,1,6,1,4,70,10,10,10,1,2,7,6,6
0,8,4,3,6,20,30,0,50,3,3,7,0,0
1,4,3,5,5,50,10,30,10,7,2,3,2,4
0,3,1,2,0,60,40,0,0,1,1,2,7,1
2,3,1,1,0,95,0,0,5,3,0,0,0,0
4,1,6,3,5,10,10,30,50,1,7,3,1,6
0,5,4,10,10,20,20,50,10,1,2,4,4,1
4,3,1,4,16,40,10,10,20,2,6,7,0,0
1,3,4,5,3,50,0,0,50,8,6,0,0,0
2,3,6,2,5,50,10,20,20,1,1,6,8,3
4,3,8,2,8,10,20,10,60,2,2,2,7,2
0,1,3,0,5,50,0,0,50,1,7,3,0,0
3,8,7,0,3,10,20,10,60,2,2,0,0,0
0,1,3,2,6,80,10,5,5,1,1,1,1,1
4,7,4,5,10,20,30,40,10,4,2,2,7,4
0,1,6,6,0,100,0,0,0,7,7,1,0,0
0,6,7,1,1,0,100,0,0,2,0,0,0,0
0,6,4,5,8,40,20,30,10,4,0,0,0,0
0,7,6,0,0,50,10,10,20,4,6,2,0,0
3,1,4,4,8,80,0,20,0,1,1,1,2,5
0,3,8,3,10,10,40,10,40,1,2,6,1,1
4,5,4,3,3,10,30,30,30,4,2,2,5,7
2,4,1,3,4,10,10,70,10,4,5,4,8,1
1,2,4,3,3,30,10,50,10,2,5,4,0,0
0,4,1,8,14,90,5,5,0,1,1,1,1,6
0,6,7,3,4,25,25,25,25,1,3,1,7,1
1,1,7,1,1,100,0,0,0,2,8,2,1,2
3,6,0,2,5,40,10,20,20,7,1,1,0,0
0,1,3,1,1,50,0,50,0,4,7,1,7,1
2,1,0,2,4,10,10,50,30,7,8,0,0,0
3,1,3,5,12,70,0,0,30,6,6,1,2,1
3,7,4,3,5,40,0,20,40,6,2,2,6,2
0,4,7,3,5,40,10,10,40,6,6,2,1,8
0,7,8,5,7,15,60,5,20,3,2,3,7,7
3,7,1,2,6,30,20,20,30,2,1,7,6,6
4,1,8,3,6,30,20,20,30,6,1,7,2,7
0,4,3,6,12,70,10,10,10,6,1,7,6,4
0,3,1,2,3,60,0,10,30,1,7,7,4,7
3,7,4,5,8,20,60,10,10,1,2,2,1,8
3,3,1,3,6,50,0,0,50,1,6,3,0,0
2,1,3,2,4,80,0,0,0,1,7,3,1,0
2,3,4,4,2,30,40,10,20,2,1,2,7,6
2,4,7,3,5,80,0,0,0,1,2,1,3,0
4,3,1,2,1,30,30,30,10,2,7,0,0,0
4,3,4,2,4,50,0,0,20,3,0,0,0,0
0,3,7,4,4,20,0,0,80,7,0,0,0,0
4,4,3,2,6,70,30,0,0,1,2,7,1,2
4,7,1,5,6,45,10,0,5,2,1,3,3,6
0,5,7,4,8,40,35,15,10,1,1,2,2,2
0,7,5,2,2,0,100,0,0,2,8,5,0,0
3,1,3,2,5,80,10,10,0,1,7,2,3,6
0,4,6,3,7,30,10,10,50,4,3,3,4,2
2,2,7,1,2,50,30,10,10,2,3,0,0,0
0,6,4,5,8,30,30,10,30,1,7,1,0,0
4,3,4,3,8,50,0,50,0,3,1,7,1,0
3,1,4,2,4,50,0,40,10,1,2,3,0,0
0,1,3,2,2,20,50,30,0,3,4,1,4,4
0,6,1,1,2,30,10,30,30,2,1,0,0,0
3,1,7,3,2,20,30,20,30,6,6,7,7,7
0,4,7,2,10,70,30,0,0,2,1,0,0,0
3,7,1,4,3,40,40,20,0,2,7,7,3,1
0,6,5,3,8,30,10,30,30,5,0,0,0,0
4,4,8,2,10,40,0,0,60,2,6,1,1,1
0,4,7,3,10,70,0,0,0,2,2,3,1,3
2,1,0,1,5,50,0,20,30,3,7,5,7,8
4,3,4,1,10,10,90,0,0,2,2,0,0,0
4,1,3,1,7,70,0,0,30,1,7,7,3,6
0,6,2,1,1,50,0,0,50,5,0,0,0,0
0,3,1,2,5,50,30,20,0,2,1,5,3,0
0,3,7,5,7,30,20,10,40,7,1,2,2,0
2,4,7,4,6,20,30,20,30,2,2,6,6,5
3,4,8,5,6,60,20,0,20,1,1,2,6,6
0,5,3,3,2,10,10,50,30,4,8,8,6,2
0,1,6,2,5,30,0,70,0,4,7,1,1,2
2,3,6,3,1,20,0,0,80,6,1,7,7,6
0,1,3,2,15,70,10,0,20,7,6,0,0,0
2,1,2,3,6,60,5,30,5,1,3,0,0,0
4,6,3,2,6,10,30,30,30,4,2,7,3,1
3,1,6,3,2,70,5,5,20,2,1,6,1,7
4,8,3,2,4,50,0,0,50,2,3,4,7,0
3,5,7,3,4,20,30,30,20,2,2,2,2,6
0,3,1,1,2,0,50,0,50,6,2,3,2,0
2,1,3,2,5,60,20,0,20,1,1,1,3,3
4,7,4,4,10,90,10,0,0,2,3,3,0,0
4,4,7,1,1,30,30,30,10,2,3,0,0,0
3,4,3,2,4,20,40,20,20,8,8,6,8,7
4,7,1,2,4,20,40,20,20,2,2,2,7,1
3,5,3,4,6,10,10,30,50,4,7,4,2,4
4,7,3,2,6,40,20,0,40,2,2,3,6,1
4,3,8,2,6,10,20,20,50,4,4,6,3,2
3,3,2,2,8,50,0,0,50,1,6,7,1,7
0,3,4,2,10,5,5,10,80,6,3,1,2,1
4,7,3,1,7,40,60,0,0,8,2,3,7,2
0,4,3,3,6,50,10,10,30,1,8,1,7,0
2,6,1,3,12,90,0,0,10,1,6,6,7,6
3,1,6,5,4,15,25,10,50,8,2,2,2,5
4,1,7,4,8,70,20,10,0,2,1,1,1,1
0,3,7,1,3,0,40,0,60,2,3,1,1,4
0,4,1,5,5,70,10,0,20,1,1,3,1,3
0,7,4,2,4,30,20,0,50,4,0,0,0,0
4,3,1,2,2,50,50,0,0,1,1,1,3,4
4,6,1,3,10,90,0,0,10,2,6,6,0,0
3,1,4,2,5,90,0,10,0,7,1,7,4,2
2,6,2,3,5,50,20,10,20,1,1,4,5,7
4,3,8,2,0,30,40,10,20,2,2,2,3,0
1,4,1,5,5,80,0,0,20,8,2,1,7,3
4,3,4,2,2,40,20,10,30,1,1,1,6,5
4,4,3,2,5,10,20,50,20,3,4,8,2,2
2,3,1,4,3,50,50,0,0,2,1,6,6,3
0,3,1,1,8,20,10,10,20,3,3,7,1,2
0,6,4,5,6,80,0,10,10,1,1,1,0,0
3,3,1,2,5,40,0,20,40,6,7,1,1,7
4,3,1,2,5,30,0,50,20,3,0,0,0,0
4,3,6,1,4,10,40,0,50,2,2,3,1,3
0,1,6,3,8,80,0,0,20,1,2,6,2,4
0,6,4,2,5,30,0,0,70,8,1,1,6,7
4,3,4,2,3,50,40,0,10,4,7,1,7,7
0,3,2,3,3,30,40,10,20,2,2,7,2,0
1,5,1,3,6,60,10,10,20,2,3,0,0,0
0,4,2,2,2,0,50,50,0,5,0,0,0,0
2,7,1,4,3,20,50,30,0,2,2,1,7,7
3,3,1,3,8,60,20,10,10,7,2,6,3,3
0,2,1,5,3,80,0,10,10,1,1,7,7,2
2,1,6,5,4,20,10,40,30,2,2,7,3,8
0,5,3,8,12,30,10,10,50,3,7,2,4,7
0,1,2,3,3,90,0,0,10,2,1,6,6,1
3,7,8,2,3,20,40,10,30,2,1,4,3,1
0,3,1,4,4,50,10,20,20,3,2,7,3,7
4,2,4,3,8,40,20,20,20,7,2,3,4,0
0,8,2,12,12,100,0,0,0,1,0,0,0,0
4,1,6,3,8,0,50,0,50,2,2,1,1,3
3,7,6,2,8,20,60,20,0,2,2,1,0,0
3,3,1,3,10,50,10,10,30,1,7,1,3,2
0,4,6,4,8,100,0,0,0,6,1,0,0,0
4,1,8,1,3,50,0,0,50,6,6,0,0,0
3,1,3,3,3,60,10,0,30,1,1,7,7,3
4,5,4,2,4,30,0,20,50,8,8,6,3,4
4,6,4,1,1,30,50,0,20,1,2,2,7,3
0,2,6,1,7,50,10,10,30,7,1,0,0,0
3,6,4,3,5,50,0,20,30,1,7,1,3,0
0,1,6,2,2,10,30,50,10,4,0,0,0,0
0,1,7,3,1,10,20,60,10,2,2,0,0,0
0,3,2,2,5,5,30,15,50,2,3,2,0,0
4,1,4,2,4,80,0,0,20,1,1,1,8,2
0,6,4,5,8,40,30,10,20,1,2,1,2,2
0,4,6,3,5,10,0,90,0,1,4,7,7,2
4,2,0,2,8,80,0,0,20,3,0,0,0,0
0,6,4,1,1,100,0,0,0,7,0,0,0,0
0,1,2,3,15,40,20,30,10,6,7,6,3,0
4,3,8,5,5,30,20,0,50,2,2,7,6,1
0,1,3,3,5,30,20,20,30,1,6,3,0,0
0,4,7,4,8,10,60,10,20,2,4,8,4,5
2,7,8,1,3,40,30,10,20,7,4,4,0,0
1,2,4,4,8,80,10,10,0,1,1,2,1,7
4,4,1,15,15,20,40,20,20,3,1,2,2,4
2,7,6,3,5,20,30,20,30,6,1,0,0,0
0,8,3,2,10,30,0,0,70,7,8,7,7,7
0,3,4,2,4,50,10,20,20,8,7,2,7,6
4,8,3,4,8,20,20,10,50,2,2,2,1,3
4,3,7,4,8,30,20,30,20,3,4,0,0,0
4,7,4,2,3,20,50,10,20,2,2,6,6,3
4,1,3,3,6,30,20,20,30,4,5,6,3,1
0,1,7,2,4,50,0,50,0,4,1,3,4,1
0,6,7,2,3,50,50,0,0,2,3,1,0,0
4,4,8,2,5,50,20,10,20,3,3,2,2,7
4,1,3,2,3,60,5,20,15,1,1,1,0,0
0,1,6,6,10,60,0,20,20,7,6,7,7,7
3,7,1,3,5,80,15,0,5,2,7,1,1,4
2,1,6,1,8,40,50,0,10,2,1,7,6,5
0,4,1,2,10,0,0,100,0,4,4,1,6,6
0,1,3,2,5,50,10,10,30,3,0,0,0,0
0,3,1,0,6,50,20,10,20,7,1,7,2,3
4,8,1,2,6,20,10,10,60,6,8,1,8,3
0,4,1,4,15,70,0,0,30,7,7,1,1,1
3,8,1,4,2,20,0,30,50,8,6,4,7,1
3,9,0,2,8,50,0,50,0,4,1,7,4,1
2,4,7,2,4,10,60,20,10,3,2,2,2,3
3,3,1,1,3,60,15,5,20,8,1,5,7,6
4,6,4,3,4,80,0,20,0,2,2,3,7,1
0,1,7,1,1,0,0,0,30,3,0,0,0,0
2,8,3,2,5,60,0,10,30,1,7,2,6,6
0,3,4,3,10,45,20,10,25,1,4,1,3,0
3,2,1,2,4,100,0,0,0,1,7,7,1,0
4,7,5,1,5,50,10,10,30,6,3,0,0,0
0,6,4,3,2,90,0,10,0,6,7,1,7,3
3,3,1,1,8,2,0,5,10,6,2,7,1,3
2,6,2,3,5,80,5,5,5,7,0,0,0,0
4,2,6,4,2,50,20,30,0,4,0,0,0,0
3,4,1,2,3,60,0,0,40,8,3,2,3,2
0,5,6,3,8,40,0,60,0,5,1,0,0,0
0,7,9,1,2,40,0,0,60,8,2,0,0,0
2,3,5,3,8,30,0,60,10,5,4,1,0,0
2,1,3,1,6,50,20,10,20,1,7,1,1,8
3,1,4,4,5,40,20,10,30,3,0,0,0,0
3,1,6,1,1,0,0,100,0,4,7,1,6,6
4,3,2,3,6,50,20,30,0,2,1,1,3,3
4,3,4,1,5,50,5,10,35,1,3,2,2,3
2,4,3,4,13,20,0,0,80,1,6,3,0,0
3,3,1,3,4,10,0,40,50,4,1,7,7,0
0,3,1,0,0,70,20,0,10,1,0,0,0,0
2,1,6,2,1,100,0,0,0,3,3,3,0,0
3,5,8,2,2,10,30,20,40,7,2,2,7,4
4,7,3,4,6,15,35,20,30,2,3,3,1,8
0,3,4,1,8,25,10,0,65,1,4,2,7,3
